price,rating
16499.00,82.00
6199.00,
54300.00,89.00
9999.00,73.00
15990.00,77.00
22700.00,86.00
50990.00,89.00
64900.00,79.00
13799.00,77.00
8999.00,65.00
89999.00,88.00
21994.00,84.00
69990.00,70.00
12999.00,75.00
24990.00,83.00
19990.00,82.00
26999.00,82.00
19999.00,81.00
16900.00,83.00
19999.00,78.00
182999.00,78.00
12999.00,75.00
15999.00,82.00
13999.00,82.00
7749.00,61.00
24999.00,81.00
59999.00,
25895.00,82.00
46990.00,89.00
7499.00,64.00
7790.00,60.00
25999.00,85.00
6299.00,60.00
12999.00,77.00
11999.00,75.00
21890.00,83.00
69999.00,84.00
55999.00,75.00
55999.00,87.00
14999.00,75.00
25994.00,85.00
42999.00,85.00
33499.00,89.00
118999.00,
16999.00,80.00
6990.00,
29990.00,82.00
12944.00,71.00
29990.00,84.00
16999.00,80.00
64999.00,89.00
154998.00,
109999.00,87.00
84999.00,83.00
27499.00,85.00
8999.00,69.00
40480.00,84.00
17999.00,81.00
105999.00,
8999.00,67.00
14999.00,77.00
19990.00,82.00
23399.00,80.00
41990.00,
22998.00,82.00
25999.00,82.00
11700.00,74.00
6499.00,
15999.00,84.00
64800.00,89.00
14590.00,80.00
7499.00,68.00
21999.00,82.00
11999.00,71.00
12999.00,79.00
20990.00,81.00
72999.00,79.00
77990.00,
56999.00,
21999.00,79.00
9499.00,75.00
7499.00,66.00
4649.00,
18000.00,62.00
38999.00,85.00
7145.00,
14990.00,77.00
15499.00,70.00
9999.00,69.00
29999.00,86.00
15999.00,84.00
59990.00,89.00
34990.00,84.00
45999.00,75.00
119990.00,85.00
89990.00,88.00
50999.00,87.00
7999.00,65.00
43999.00,88.00
18499.00,83.00
134999.00,
32999.00,85.00
13499.00,80.00
35489.00,86.00
20120.00,78.00
42999.00,81.00
4649.00,
24999.00,78.00
20999.00,82.00
28994.00,84.00
48900.00,88.00
22494.00,86.00
8990.00,61.00
6999.00,
8890.00,63.00
18498.00,82.00
23999.00,81.00
22994.00,81.00
12990.00,71.00
14999.00,78.00
18499.00,80.00
14990.00,78.00
70990.00,88.00
12120.00,75.00
29990.00,84.00
20999.00,82.00
11999.00,80.00
17990.00,73.00
14990.00,77.00
6490.00,
2999.00,
34999.00,83.00
149900.00,79.00
6499.00,
104999.00,
13999.00,75.00
16999.00,79.00
79999.00,
36760.00,87.00
23499.00,81.00
75990.00,87.00
21990.00,76.00
18999.00,80.00
7249.00,66.00
16990.00,75.00
23890.00,80.00
26380.00,83.00
27999.00,87.00
10850.00,70.00
19999.00,81.00
129990.00,76.00
19990.00,81.00
41990.00,
69990.00,
39990.00,88.00
74999.00,
36994.00,87.00
14700.00,76.00
34990.00,86.00
34999.00,76.00
13990.00,75.00
650000.00,62.00
14859.00,79.00
17999.00,84.00
34990.00,85.00
14990.00,85.00
8999.00,65.00
8999.00,71.00
15824.00,84.00
43900.00,
22494.00,86.00
19650.00,82.00
6999.00,61.00
16499.00,80.00
15999.00,75.00
72999.00,88.00
26999.00,84.00
6999.00,
130990.00,75.00
12787.00,71.00
9999.00,72.00
54999.00,86.00
15490.00,79.00
25999.00,84.00
9499.00,68.00
7999.00,70.00
63990.00,86.00
15990.00,73.00
34949.00,85.00
8799.00,72.00
12390.00,74.00
11499.00,73.00
199990.00,
42990.00,86.00
34999.00,82.00
11999.00,75.00
10499.00,70.00
8910.00,66.00
24990.00,85.00
17999.00,84.00
22999.00,86.00
6490.00,
21990.00,85.00
1762.00,
12364.00,76.00
39990.00,86.00
11999.00,77.00
7499.00,
3990.00,60.00
10499.00,65.00
6299.00,
5990.00,
113990.00,
239999.00,81.00
21999.00,84.00
15999.00,80.00
6899.00,
69990.00,86.00
12990.00,71.00
92980.00,
15999.00,74.00
23999.00,84.00
12999.00,75.00
60990.00,86.00
8859.00,67.00
33749.00,84.00
15990.00,63.00
24990.00,84.00
14999.00,76.00
17990.00,76.00
24990.00,75.00
11600.00,74.00
8299.00,62.00
11999.00,78.00
89999.00,88.00
27999.00,77.00
15990.00,69.00
7289.00,60.00
30990.00,86.00
15499.00,77.00
8499.00,66.00
14490.00,80.00
15490.00,80.00
14990.00,78.00
15999.00,75.00
36000.00,82.00
69999.00,
26990.00,86.00
10630.00,71.00
42990.00,85.00
24990.00,77.00
14489.00,77.00
16490.00,73.00
24494.00,82.00
7999.00,61.00
23990.00,85.00
49959.00,89.00
129900.00,83.00
19990.00,80.00
14990.00,67.00
23269.00,85.00
13999.00,75.00
1949.00,
2799.00,
35389.00,85.00
79700.00,
9499.00,62.00
12340.00,76.00
10799.00,74.00
14990.00,73.00
61990.00,89.00
51880.00,
16990.00,80.00
19990.00,84.00
57999.00,87.00
46990.00,87.00
20990.00,77.00
17990.00,82.00
17499.00,82.00
17999.00,80.00
49990.00,
2399.00,
14999.00,74.00
19980.00,82.00
35990.00,85.00
15999.00,78.00
41999.00,88.00
25999.00,83.00
7990.00,65.00
29990.00,84.00
27990.00,83.00
29999.00,84.00
8999.00,68.00
13999.00,81.00
11499.00,71.00
39999.00,87.00
27999.00,84.00
24499.00,79.00
60999.00,86.00
110999.00,89.00
54999.00,89.00
16490.00,80.00
24990.00,83.00
1299.00,
25000.00,
1999.00,
9950.00,66.00
12999.00,75.00
19999.00,83.00
32999.00,84.00
28498.00,81.00
15998.00,71.00
3749.00,
59990.00,89.00
16990.00,78.00
27999.00,82.00
13499.00,75.00
16499.00,78.00
10999.00,66.00
13990.00,71.00
9999.00,74.00
31994.00,83.00
24820.00,83.00
22990.00,83.00
59990.00,88.00
8999.00,62.00
10499.00,72.00
7499.00,
9990.00,75.00
12490.00,76.00
13990.00,69.00
17990.00,79.00
24999.00,83.00
21999.00,85.00
19999.00,77.00
99999.00,
109900.00,77.00
52990.00,
99.00,
19990.00,80.00
11499.00,69.00
699.00,
13999.00,75.00
22990.00,82.00
28990.00,84.00
27999.00,85.00
19990.00,82.00
22999.00,83.00
17999.00,82.00
15499.00,81.00
17990.00,84.00
13999.00,77.00
13499.00,73.00
14799.00,79.00
6999.00,62.00
11999.00,69.00
23994.00,85.00
3589.00,
139900.00,80.00
69999.00,89.00
57999.00,89.00
86000.00,87.00
11999.00,71.00
14999.00,77.00
26499.00,81.00
8990.00,62.00
95999.00,82.00
47990.00,85.00
17990.00,81.00
22999.00,83.00
1299.00,
99990.00,
39999.00,86.00
38999.00,88.00
12490.00,63.00
5490.00,
39990.00,86.00
1339.00,
16685.00,80.00
69990.00,
6999.00,66.00
71999.00,86.00
26999.00,84.00
16499.00,75.00
17990.00,74.00
8999.00,68.00
39900.00,63.00
2799.00,
5999.00,60.00
34999.00,76.00
16990.00,77.00
22990.00,84.00
19990.00,84.00
10850.00,74.00
13499.00,75.00
958.00,
6699.00,61.00
17999.00,80.00
13990.00,69.00
94990.00,
8968.00,72.00
7320.00,60.00
8999.00,69.00
13999.00,75.00
14746.00,79.00
16999.00,83.00
25990.00,83.00
16499.00,78.00
19999.00,81.00
23500.00,80.00
54999.00,85.00
19499.00,80.00
79990.00,
39999.00,83.00
92999.00,89.00
1799.00,
32990.00,84.00
14499.00,72.00
13999.00,70.00
7999.00,
5785.00,
12990.00,73.00
19990.00,84.00
23990.00,79.00
17999.00,77.00
16999.00,80.00
9999.00,68.00
8299.00,63.00
82199.00,89.00
1850.00,
49990.00,84.00
11999.00,71.00
29990.00,82.00
92249.00,
139900.00,84.00
14990.00,74.00
15988.00,79.00
11725.00,76.00
17994.00,80.00
134999.00,86.00
25595.00,81.00
7499.00,67.00
10890.00,74.00
18990.00,83.00
19990.00,82.00
15990.00,80.00
58999.00,89.00
12500.00,71.00
29999.00,82.00
31990.00,86.00
29999.00,86.00
107990.00,
31990.00,84.00
48990.00,87.00
99990.00,85.00
9499.00,65.00
162990.00,89.00
24999.00,80.00
82990.00,72.00
15999.00,79.00
8999.00,64.00
17990.00,73.00
82990.00,
12999.00,77.00
29990.00,83.00
6999.00,
60999.00,
27990.00,83.00
5249.00,
14999.00,80.00
44990.00,87.00
22490.00,87.00
50990.00,
11499.00,75.00
5990.00,
27000.00,84.00
29999.00,86.00
27990.00,84.00
3290.00,
74999.00,89.00
9990.00,72.00
19990.00,82.00
13279.00,75.00
11000.00,68.00
18900.00,
12999.00,78.00
7299.00,61.00
995.00,
7999.00,61.00
54990.00,86.00
49990.00,77.00
54990.00,
49990.00,60.00
15499.00,71.00
169900.00,78.00
53990.00,75.00
18990.00,80.00
16999.00,76.00
34999.00,86.00
82990.00,
46999.00,89.00
8499.00,66.00
16999.00,76.00
11499.00,69.00
88999.00,88.00
15990.00,81.00
24990.00,83.00
79990.00,
6249.00,61.00
12499.00,69.00
6499.00,61.00
179900.00,86.00
11990.00,68.00
26990.00,82.00
13499.00,76.00
75999.00,
5999.00,60.00
8499.00,67.00
11990.00,71.00
10990.00,77.00
109990.00,
16999.00,80.00
12199.00,70.00
11490.00,72.00
5490.00,
11499.00,74.00
59450.00,88.00
12799.00,76.00
83000.00,88.00
14490.00,80.00
82990.00,
9490.00,64.00
25000.00,78.00
15000.00,65.00
20990.00,70.00
34999.00,78.00
29999.00,80.00
11999.00,67.00
12999.00,72.00
124990.00,89.00
28999.00,85.00
12999.00,77.00
28499.00,82.00
104999.00,83.00
172999.00,77.00
17990.00,79.00
13774.00,76.00
2239.00,
8999.00,64.00
18990.00,75.00
14999.00,77.00
7999.00,61.00
39999.00,85.00
11990.00,67.00
12999.00,77.00
54999.00,77.00
24990.00,72.00
59999.00,88.00
19999.00,72.00
16999.00,79.00
14999.00,60.00
29990.00,76.00
13990.00,69.00
17999.00,81.00
11399.00,73.00
599.00,
19990.00,79.00
15499.00,74.00
6999.00,
12499.00,77.00
91999.00,80.00
9690.00,71.00
32990.00,85.00
42990.00,87.00
14999.00,
18699.00,82.00
1749.00,
10990.00,76.00
30990.00,85.00
59999.00,89.00
23999.00,83.00
9999.00,69.00
3099.00,
119900.00,80.00
9299.00,67.00
12989.00,77.00
4999.00,
11999.00,
29990.00,83.00
12490.00,72.00
27999.00,75.00
8199.00,
21990.00,81.00
20000.00,73.00
11990.00,74.00
11989.00,75.00
11490.00,66.00
11490.00,68.00
15999.00,67.00
17990.00,69.00
78990.00,86.00
10949.00,66.00
10300.00,65.00
1899.00,
45999.00,88.00
21990.00,63.00
19990.00,76.00
32990.00,84.00
14499.00,77.00
41990.00,85.00
13990.00,67.00
1599.00,
4799.00,
10490.00,67.00
29990.00,82.00
22990.00,82.00
47990.00,80.00
19999.00,84.00
29999.00,83.00
11879.00,74.00
28990.00,84.00
39990.00,85.00
15999.00,78.00
22990.00,82.00
149999.00,87.00
11499.00,75.00
22999.00,84.00
7999.00,70.00
31999.00,82.00
30990.00,78.00
7999.00,64.00
10999.00,74.00
14990.00,79.00
14499.00,77.00
44999.00,86.00
17999.00,83.00
19999.00,83.00
3999.00,
101999.00,
38700.00,84.00
19999.00,73.00
10999.00,72.00
16990.00,68.00
55999.00,75.00
67999.00,76.00
9999.00,66.00
14439.00,77.00
2499.00,
9990.00,64.00
24999.00,85.00
85990.00,
480000.00,88.00
16999.00,78.00
8999.00,
15990.00,62.00
3999.00,
3890.00,
1685.00,
84990.00,75.00
21999.00,78.00
2099.00,
8999.00,66.00
649.00,
20999.00,79.00
32990.00,84.00
9022.00,70.00
8399.00,61.00
9999.00,64.00
8390.00,63.00
19999.00,82.00
13999.00,71.00
29999.00,85.00
8990.00,60.00
163980.00,
24990.00,80.00
59990.00,
47990.00,86.00
40990.00,86.00
22999.00,74.00
12990.00,63.00
14999.00,79.00
42999.00,86.00
14999.00,78.00
22990.00,83.00
118990.00,
29990.00,81.00
7399.00,62.00
17999.00,80.00
12799.00,77.00
26999.00,86.00
22999.00,82.00
147900.00,84.00
44999.00,84.00
7790.00,68.00
39990.00,87.00
9999.00,65.00
22990.00,80.00
32999.00,79.00
32990.00,85.00
14999.00,74.00
12499.00,74.00
39990.00,84.00
6499.00,61.00
18499.00,76.00
30994.00,85.00
32999.00,78.00
10499.00,73.00
19999.00,82.00
17499.00,75.00
10990.00,69.00
19000.00,82.00
13990.00,70.00
10499.00,72.00
5890.00,
6490.00,61.00
54999.00,88.00
9990.00,65.00
24999.00,79.00
3399.00,
59990.00,88.00
214990.00,
9990.00,63.00
6999.00,
169000.00,
39990.00,78.00
21490.00,70.00
13490.00,
7999.00,70.00
8990.00,67.00
13999.00,75.00
1999.00,
13990.00,72.00
14999.00,84.00
6999.00,
42990.00,87.00
6799.00,61.00
25899.00,72.00
54999.00,89.00
49990.00,89.00
32990.00,86.00
8720.00,64.00
69990.00,89.00
4787.00,
70990.00,80.00
119990.00,
34990.00,83.00
14990.00,75.00
28990.00,85.00
19990.00,80.00
24990.00,74.00

